"RAMATAHAL VILLAGE IN COMPLAINANT HOUSE, RAMATAHAL VILLAGE IN COMPLAINANT HOUSE",6,2016
"MULLUR VILLAGE COMPLAINANT HOUSE NEAR, MULLUR VILLAGE COMPLAINANT HOUSE NEAR",7,2016
"MULLUR VILLAGE COMPLAINANT LAND NEAR, MULLUR VILLAGE COMPLAINANT LAND NEAR",7,2016
"GUDUR BUSTAND, GUDUR BUSTAND",8,2016
"HULAGINAL VILLAGE COMPLAINANT HOUSE FRONT, HULAGINAL VILLAGE COMPLAINANT HOUSE FRONT",10,2016
"KAMATGI SEVALA SCHOOL NEAR, KAMATGI SEVALA SCHOOL NEAR",3,2017
"KELUR VILAGE INFRONT OF  RAYAVVA  SIRABADAGI  HOUS, KELUR VILAGE INFRONT OF  RAYAVVA  SIRABADAGI  HOUS",5,2017
"KAMATAGI CROSS NEAR ACCUSED LAND, KAMATAGI CROSS NEAR ACCUSED LAND",6,2017
"GUDUR VILLAGE COMPLAINANT LAND, GUDUR VILLAGE COMPLAINANT LAND",7,2017
"AMINAGAD PLOT NO 267, AMINAGAD PLOT NO 267",9,2017
"KALLIGUDDA VILLAGE RANGAMANDIR NEAR PUBLIC PLACE, KALLIGUDDA VILLAGE RANGAMANDIR NEAR PUBLIC PLACE",12,2017
"KALLIGUDDA VILLAGE COMPLAINANT HOUSE FRONT, KALLIGUDDA VILLAGE COMPLAINANT HOUSE FRONT",12,2017
"RAKKASAGI VILLAGE R S NO 42 LAND, RAKKASAGI VILLAGE R S NO 42 LAND",10,2018
"HIREMAGI VILLAGE R S NO 136/5  FIELD, HIREMAGI VILLAGE R S NO 136/5  FIELD",1,2019
"HIREMAGI VILLAGE R S NO 136/2 FIELD, HIREMAGI VILLAGE R S NO 136/2 FIELD",1,2019
"MULLUR VILLAGE IN FRONT OF  COMPLAINAT HOUSE, MULLUR VILLAGE IN FRONT OF  COMPLAINAT HOUSE",5,2019
"AMINAGAD VILLAGE IN FRANT OF COMPLAINT HOUSE, AMINAGAD VILLAGE IN FRANT OF COMPLAINT HOUSE",6,2019
"BEVINAL VILLAGE COMPLAINANT FIELD, BEVINAL VILLAGE COMPLAINANT FIELD",7,2019
"GUDUR VILLAGE AMBABHAVANI TEMPLE NEAR, GUDUR VILLAGE AMBABHAVANI TEMPLE NEAR",8,2019
"RAKKASAGI VILLAGE INFRONT OF COMPLAINANT HOUSE, RAKKASAGI VILLAGE INFRONT OF COMPLAINANT HOUSE",4,2020
"AIHOLE VILLAGE INFRONT OF COMPLAINT HOUSE, AIHOLE VILLAGE INFRONT OF COMPLAINT HOUSE",5,2020
"NEAR COMPLAIINANT FIELD, NEAR COMPLAIINANT FIELD",11,2020
"IN FRONT OF COMPLAINANT HOSE AT MURUDI, IN FRONT OF COMPLAINANT HOSE AT MURUDI",11,2020
"GUDUR VILLAGE NEAR BANNIKATTI  KATTIGE ADDE, GUDUR VILLAGE NEAR BANNIKATTI  KATTIGE ADDE",12,2020
"INFRONT OF COMPLAINANT HOUSE AT MURUDI, INFRONT OF COMPLAINANT HOUSE AT MURUDI",8,2021
"AMINAGAD TOWN INFRONT VIJAYA MAHANTESH KHANAVALI, AMINAGAD TOWN INFRONT VIJAYA MAHANTESH KHANAVALI",3,2022
"VADAGERI VILLAGE  NEAR HUCHANAGOUDA GOUDAR HOUSE, VADAGERI VILLAGE  NEAR HUCHANAGOUDA GOUDAR HOUSE",5,2022
"VADAGERI VILLAGE, VADAGERI VILLAGE",5,2022
"INFRONT OF  COMPLAINT HOUSE AT GUDUR, INFRONT OF  COMPLAINT HOUSE AT GUDUR",10,2022
"INFRONT OF COMPLAINANT HOUSE AT HULAGINAL, INFRONT OF COMPLAINANT HOUSE AT HULAGINAL",1,2023
"INFRONT OF COMPLAINANT HOUSE AT  HULAGINAL, INFRONT OF COMPLAINANT HOUSE AT  HULAGINAL",1,2023
"IN MUDAKAPPA HUNDEKAR FIELD AT KAMATAGI, IN MUDAKAPPA HUNDEKAR FIELD AT KAMATAGI",3,2023
"IN MUDAKAPPA HUNDEKAR FIELD AT KAMATAGI, IN MUDAKAPPA HUNDEKAR FIELD AT KAMATAGI",3,2023
"INFRONT OF SHADI MAHAL AT SULEBHAVI, INFRONT OF SHADI MAHAL AT SULEBHAVI",9,2023
"COMLAINANT FIELD AT MURUDI, COMLAINANT FIELD AT MURUDI",12,2023
"INFRONT OF COMPLANIANT HOUSE AT MURUDI, INFRONT OF COMPLANIANT HOUSE AT MURUDI",1,2024
"In Field of Complalnant of Pattadakal, In Field of Complalnant of Pattadakal",1,2016
"Infront of Compalinant House Kakanur Village, Infront of Compalinant House Kakanur Village",2,2016
"KAKANUR, KAKANUR",3,2016
"Infront of Complainants Home of Anantagiri, Infront of Complainants Home of Anantagiri",3,2016
"NEAR BEERANUR VILLAGE, NEAR BEERANUR VILLAGE",4,2017
"Near Khanapur S K Village, Near Khanapur S K Village",4,2017
"BELAVALAKOPPA, BELAVALAKOPPA",8,2017
"In Complainants House of Kulageri, In Complainants House of Kulageri",9,2017
"KULAGERI CROSS, KULAGERI CROSS",3,2018
"In Kulageri Cross, In Kulageri Cross",3,2018
"On Road of Maibub Nagar Badami, On Road of Maibub Nagar Badami",5,2018
"CHOLACHAGUDDA, CHOLACHAGUDDA",8,2018
"BADAMI TOWN IN RAMADURGA CROSS, BADAMI TOWN IN RAMADURGA CROSS",9,2018
"BADAMI TOWN NEAR HUCHCHERESHWAR MATH, BADAMI TOWN NEAR HUCHCHERESHWAR MATH",9,2018
