Year,age,PresentAddress,CrimeGroup_Name
2016,52,"HIREBADAWADAGI,TQ-HUNAGUND",THEFT
2016,54,"AMINAGAD,TQ-HUNAGUND",BURGLARY - NIGHT
2016,55,"KHANADAL,TQ-RAYABHAG",THEFT
2016,67,"AMINAGAD,TQ-HUNAGUND",MURDER
2016,54,"AMINAGADA,TQ-HUNAGUND",THEFT
2016,56,"BIDARAKUNDI,TQ-MUDHEBIHAL",THEFT
2016,78,"BAGALKOT,TQ-BAGALAKOT",THEFT
2017,43,"GANGUR,TQ-HUNGUND",MURDER
2017,55,"AIHOLE NOW AT OLD HUBLI,TQ-HUNAGUND",BURGLARY - NIGHT
2017,55,"UPNAL S C,TQ-HUNAGUND",MURDER
2017,66,",",BURGLARY - NIGHT
2017,60,"KAMATAGI,TQ=HUNAGUND",MURDER
2017,65,",",BURGLARY - NIGHT
2017,52,"AMINAGAD,TQ:HUNAGUND",THEFT
2018,76,"HALLIGUDI,TQ-MUNDARAGI",MURDER
2019,71,"BAIRAMATTI,TQ-BAGALKOT",BURGLARY - NIGHT
2020,56,"TALLIKERI,TQ-HUNGUND",BURGLARY - NIGHT
2020,57,"TALLIKERI,TQ-HUNGUND",THEFT
2020,78,"AMINAGAD,TQ-HUNGUND",THEFT
2020,56,"HOSUR VILLAGE,TQ BADAMI",MURDER
2020,55,"AMINAGAD,AMINAGD",THEFT
2020,53,"NANDIKESHAVAR,TQ BADAMI",BURGLARY - NIGHT
2020,55,"KATAGUR VILLAGE,TQ HUNAGUND",MURDER
2020,67,"AMINAGAD LT,AMINAGAD",BURGLARY - NIGHT
2020,68,"BHIMANAGAD VILLAGE,TQ ILAKL",THEFT
2020,69,",",THEFT
2021,51,"SULEBHAVI,TQ-HUNGUND",BURGLARY - NIGHT
2021,78,"RAKKASAGI,TQ-HUNGUND",BURGLARY - NIGHT
2021,77,"CHOUDAPUR,TQ:BAGALKOT",BURGLARY - NIGHT
2021,88,"AMINAGAD,TQ-HUNGUND",THEFT
2021,90,"KAMATAGI,TQ HUNAGUND",THEFT
2021,77,"KULLUR VILLAGE,TQ RAMADURGA",THEFT
2021,76,"HIREMAGI VILLAGE,TQ:HUNAGUND",THEFT
2021,78,"BAGALKOT,BAGALKOT",THEFT
2022,50,"TALLIKERI,TQ ILKAL",THEFT
2022,25,"BAGALKOTE,TQ BAGALKOTE",BURGLARY - NIGHT
2022,30,"PAWAGAD,TQ TUMAKURU",BURGLARY - NIGHT
2022,22,"GUDUR,TQ ILKAL",MURDER
2022,48,"SANTE KELUR,TQ LINGASUR",THEFT
2022,62,"GUDUR,TQ ILKAL",THEFT
2022,70,"GUDUR S C,TQ ILAKL",MURDER
2022,67,"GUDUR S C,TQ ILKAL",THEFT
2022,63,"GUDUR,TQ ILKAL",MURDER
2022,65,"MURUDI,TQ ILAKL",MURDER
2022,55,"MURUDI,TQ ILAKL",THEFT
2023,56,"SULEBHAVI NOW AT SHIRUR,TQ BAGALKOTE",MURDER
2023,67,"ANAPAKATTI,TQ  HUNAGUND",THEFT
2023,78,"SULEBHAVI,TQ HUNAGUND",THEFT
2023,77,"SHIIRUR,TQ BAGALKOTE",BURGLARY - NIGHT
2023,65,"Sebinakatti,TQ:KUSHTAGI",THEFT
2023,66,"KOUJAGANUR,TQ BAGALKOTE",MURDER
2023,66,"CHILAPUR,TQ ILAKL",THEFT
2023,56,"KAMATAGI,TQ HUNAGUND",MURDER
2023,67,"UNKNOWN,UNKNOWN",MURDER
2023,60,"MURUDI,TQ ILAKL",THEFT
2024,89,"MURUDI,TQ ILAKL",THEFT
2024,66,"MURUDI,TQ ILAKL",THEFT
2016,77,"PATTADAKALL,BADAMI",THEFT
2016,28,"NANDIKESHWAR NOW AT BADAMI,",THEFT
2016,56,"Halakurki,Badami",THEFT
2016,50,"Jalihal BN,Badami",THEFT
2016,43,"Jalihal BN,Badami",THEFT
2016,70,"Karadigudda SN,Badami",BURGLARY - NIGHT
2016,16,"Kallipet Galli Bdami,Badami",THEFT
2016,28,"Kataraki,Badami",THEFT
2016,45,"Neelagund,Badami",MURDER
2016,53,"ALUR SK,BADAMI",MURDER
2016,28,"Raghapur,Badami",BURGLARY - NIGHT
2016,24,"Raghapur,Badami",BURGLARY - NIGHT
2016,46,"GUDUR,HUNAGUND",THEFT
2016,18,"Muttalageri,Badami",THEFT
2016,61,"LAKAMAPUR,BADAMI",THEFT
2016,9,"Nandikeshwar,Badami",THEFT
2016,20,"Kudagunti,Yalaburga",BURGLARY - NIGHT
2016,0,"Alamatti,Vijaypur",BURGLARY - NIGHT
2016,45,"Basavan Bagewadi,Basavan Bagewadi",THEFT
2016,61,"Basavan Bagewadi,Basavan Bagewadi",BURGLARY - NIGHT
2016,63,"Basavan Bagewadi,Basavan Bagewadi",THEFT
2016,44,"ANAND NAGAR BADAMI,BADAMI",THEFT
2017,68,"KONNUR,NARAGUND",THEFT
2017,36,"Jalihal,Badami",THEFT
2017,22,"KUDALASANGAM,TQ-HUNAGUNDA",THEFT
2017,65,"Talakawad,Badami",THEFT
2017,45,"KITTALI,TQ-BADAMI",THEFT
2017,24,"JALIHAL,TA-BADAMI",THEFT
2017,30,"HALEROLLI LT,BASAVAN BAGEWADI",MURDER
2017,40,"ADAGAL,BADAMI",THEFT
2017,40,"KHANAPUR S K,BADAMI",THEFT
2017,18,"Raghapur,Badami",MURDER
2017,21,"Kutakanakeri,Badami",BURGLARY - NIGHT
2017,35,"Hanapur SP,Badami",THEFT
2017,26,"NANDIKESHWAR,BADAMI",BURGLARY - NIGHT
2017,60,"BAGALKOT,BAGALKOT",BURGLARY - NIGHT
